"","S1.F.1.U","S2.F.U","S3.F.U","S4.F.U","S6.F.U","S7.F.U","S9.F.U","S10.F.U","S13.F.U","S14.F.U","S16.F.U","S18.F.U","S19.F.U","S20.F.U","S21.F.U","S22.F.U","S24.F.U","S25.F.U","S26.F.U","S27.F.U","S29.F.U","S30.F.U","S31.F.U","S32.F.U","S37.F.U","S40.F.U","S41.F.U","S42.F.U"
"OTU_180",3,3,4,9,9,3,0,8,4,6,22,7,13,13,10,3,19,35,16,13,21,27,106,8,25,25,42,22
"OTU_181",2,5,11,2,12,6,5,11,3,8,33,4,23,9,33,12,26,13,11,15,3,37,4,22,13,157,21,2
"OTU_182",0,0,16,0,0,0,0,0,0,0,9,15,0,1,3,23,15,0,7,0,0,5,11,7,1,5,0,64
"OTU_183",8,25,20,10,23,11,4,37,9,23,24,4,28,13,21,8,42,12,27,18,22,29,24,32,20,25,12,1
"OTU_184",16,12,3,19,5,6,8,6,11,13,5,2,13,6,4,8,12,18,13,18,5,43,61,30,147,57,35,15
"OTU_185",0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,19,8,0,3,0,0,2,10,21,1,0,0,6
"OTU_186",17,43,22,13,1,24,1,13,4,3,26,8,2,0,3,5,5,0,2,0,0,7,9,2,4,8,4,32
"OTU_187",6,84,6,1,4,29,5,45,6,3,73,9,5,5,3,7,3,8,13,3,1,0,1,4,7,2,3,1
"OTU_188",7,1,5,8,2,6,20,11,24,10,2,8,17,10,15,35,7,5,20,3,3,1,0,3,5,2,4,1
"OTU_189",0,0,1,0,0,1,0,0,1,0,1,6,0,0,0,65,17,0,11,0,0,10,12,19,6,1,1,0
"OTU_190",25,19,35,42,72,44,55,28,22,56,9,13,29,46,50,29,14,15,26,45,59,20,12,24,12,30,22,30
"OTU_191",0,0,0,2,2,5,0,0,2,3,4,19,9,6,18,11,4,0,3,2,4,2,2,4,0,0,0,12
"OTU_192",24,38,35,14,17,17,37,58,44,47,42,21,49,77,12,18,55,102,50,71,33,45,16,80,27,112,101,75
"OTU_193",16,20,6,14,6,12,16,20,18,3,10,12,28,12,8,13,12,18,14,20,7,13,12,24,12,25,14,7
"OTU_194",0,0,4,0,0,10,32,26,0,0,0,5,2,1,2,3,14,18,0,0,3,4,4,1,0,0,1,0
"OTU_195",8,7,27,18,12,14,13,20,25,28,4,6,12,15,14,18,3,13,13,15,18,16,16,31,15,9,15,19
"OTU_196",12,30,18,21,27,13,37,39,15,22,13,10,10,20,9,14,10,13,14,11,13,18,5,7,10,16,5,9
"OTU_197",0,1,0,0,0,5,2,5,0,0,1,2,1,1,0,10,2,2,0,0,6,1,2,16,1,0,0,0
"OTU_198",67,74,26,47,38,49,31,23,51,26,61,18,39,26,22,44,94,149,39,64,32,38,78,42,42,44,96,95
"OTU_199",0,1,0,2,3,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,49
"OTU_200",1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,4,1,0,1,0,0,0
"OTU_201",53,38,42,40,24,61,26,17,41,38,18,16,25,57,18,8,24,22,17,37,43,18,22,21,28,31,27,18
"OTU_202",0,1,1,0,0,2,0,1,2,2,1,1,4,68,2,0,33,31,3,53,46,0,6,1,3,11,7,18
"OTU_203",7,4,22,13,21,16,20,16,18,15,11,25,45,26,41,17,11,19,6,26,15,3,2,5,3,1,16,5
"OTU_204",13,7,11,14,25,15,16,3,6,6,6,2,7,6,13,2,0,5,10,23,39,11,18,12,10,3,4,12
"OTU_205",5,6,5,3,19,1,4,8,13,13,24,6,4,13,3,12,43,10,8,40,14,16,3,9,61,19,44,11
"OTU_206",90,51,49,40,0,2,12,3,37,35,4,1,0,4,0,2,0,0,1,3,6,2,10,1,0,1,1,2
